,Date,Price,Open,High,Low,Change %,Variation,OpenPrice
244,12/01/2002,38.18,43.5,43.51,37.59,-0.09380000000000001,-9.38%,0.8777011494252873
245,11/01/2002,42.13,39.09,42.72,37.75,0.07719999999999999,7.72%,1.0777692504476848
246,10/01/2002,39.11,36.84,42.73,35.59,0.0843,8.43%,1.0616178067318132
247,09/01/2002,36.07,40.54,41.06,35.67,-0.1281,-12.81%,0.8897385298470647
248,08/01/2002,41.37,44.45,44.7,39.59,-0.0735,-7.35%,0.9307086614173227
249,07/01/2002,44.65,48.05,48.69,42.24,-0.07440000000000001,-7.44%,0.9292403746097815
250,06/01/2002,48.24,50.78,51.12,46.17,-0.0434,-4.34%,0.9499803072075621
251,05/01/2002,50.43,50.83,53.27,50.11,-0.009399999999999999,-0.94%,0.9921306315168208
252,04/01/2002,50.91,53.9,54.57,50.33,-0.0583,-5.83%,0.9445269016697587
253,03/01/2002,54.06,48.91,54.52,48.91,0.11259999999999999,11.26%,1.1052954406051934
254,02/01/2002,48.59,50.41,50.5,47.99,-0.033,-3.30%,0.9638960523705615
255,01/01/2002,50.25,50.66,52.17,47.86,-0.0014000000000000002,-0.14%,0.9919068298460324
256,12/01/2001,50.32,47.35,53.85,46.24,0.060700000000000004,6.07%,1.0627243928194297
257,11/01/2001,47.44,42.17,50.77,40.96,0.1128,11.28%,1.1249703580744603
258,10/01/2001,42.63,45.67,46.99,42.55,-0.0682,-6.82%,0.9334355156557915
259,09/01/2001,45.75,48.48,49.88,45.09,-0.05,-5.00%,0.9436881188118812
260,08/01/2001,48.16,50.54,51.93,47.1,-0.043899999999999995,-4.39%,0.9529085872576176
261,07/01/2001,50.37,54.08,54.25,50.33,-0.0655,-6.55%,0.9313979289940828
262,06/01/2001,53.9,53.66,54.39,49.99,-0.0042,-0.42%,1.004472605292583
263,05/01/2001,54.13,53.26,55.27,50.81,0.0141,1.41%,1.016334960570785
264,04/01/2001,53.38,48.86,53.93,48.38,0.0861,8.61%,1.09250920998772
265,03/01/2001,49.15,48.6,51.21,46.89,0.0014000000000000002,0.14%,1.0113168724279835
266,02/01/2001,49.08,50.82,52.27,48.72,-0.052300000000000006,-5.23%,0.9657615112160566
267,01/01/2001,51.79,50.75,54.94,48.74,0.013500000000000002,1.35%,1.0204926108374384
268,12/01/2000,51.1,54.93,55.34,49.94,-0.0605,-6.05%,0.930274895321318
269,11/01/2000,54.39,57.4,58.85,54.27,-0.0552,-5.52%,0.9475609756097562
270,10/01/2000,57.57,57.91,58.97,55.53,-0.0036,-0.36%,0.9941288205836644
271,09/01/2000,57.78,57.16,59.9,55.71,0.0086,0.86%,1.0108467459762072
272,08/01/2000,57.29,60.2,60.2,56.83,-0.049800000000000004,-4.98%,0.9516611295681062
